IdCliente;Nombre;Apellido;DNI;Fecha_de_nacimiento;Fecha_de_alta;CUIT
1;Idell;Kemell;22201007;1973-03-14;2023-10-30 00:00:00;27222010079
2;Cody;De Bruyn;17758522;1966-01-26;2021-03-31 00:00:00;20177585227
3;Patrice;Tanfield;37082407;1996-01-26;2021-11-29 00:00:00;27370824073
4;Siobhan;Guidoni;26832121;1978-06-26;2022-10-03 00:00:00;27268321219
5;Jefferson;Huggett;24434916;1976-07-01;2023-08-26 00:00:00;20244349164
6;Silvan;Lombardo;36448896;1995-04-27;2022-12-27 00:00:00;20364488968
7;Jonathan;Hammatt;29747581;1982-07-22;2021-06-02 00:00:00;20297475812
8;Ynes;Josefsson;24247793;1976-05-20;2021-07-05 00:00:00;27242477933
9;Kimble;Pettiford;28744139;1981-02-09;2022-11-08 00:00:00;20287441398
10;Philippe;Grishelyov;26276801;1978-04-14;2020-04-03 00:00:00;27262768012
11;Demetrius;Di Frisco;29649640;1982-07-06;2022-07-22 00:00:00;20296496405
12;Martie;Lamar;21243787;1970-07-25;2020-12-14 00:00:00;20212437875
13;Christel;Grayling;27238859;1979-06-24;2020-05-05 00:00:00;27272388590
14;Free;Le Barr;29321110;1981-06-28;2021-05-20 00:00:00;20293211107
15;Bengt;Syphas;33648378;1989-12-04;2023-05-27 00:00:00;20336483785
16;Renelle;MacAnellye;32054826;1986-02-13;2023-10-25 00:00:00;27320548263
17;Ferrell;Hurdidge;25629184;1977-09-14;2022-07-29 00:00:00;20256291842
18;Selena;Tison;33595725;1989-07-22;2023-07-20 00:00:00;27335957257
19;Jaynell;Blant;33105932;1988-05-16;2021-03-10 00:00:00;27331059327
20;Ariana;Roisen;34403786;1990-06-18;2023-07-04 00:00:00;27344037864
21;Osbourne;Embleton;19988041;1968-03-19;2021-12-30 00:00:00;20199880413
22;Rogerio;Robottham;34817337;1992-02-24;2023-05-11 00:00:00;20348173377
23;Davin;Leynton;28605708;1980-11-12;2021-12-23 00:00:00;20286057087
24;Clive;Matelyunas;39409029;1998-08-01;2023-07-24 00:00:00;20394090296
25;Catrina;Ferry;35460442;1994-02-13;2023-06-07 00:00:00;27354604422
26;Arleyne;Brannan;26482595;1978-05-24;2022-06-27 00:00:00;27264825959
27;Willy;Elmar;39292150;1997-06-15;2023-12-22 00:00:00;20392921503
28;Skelly;Kop;25446431;1976-11-01;2021-04-09 00:00:00;20254464316
29;Saraann;Chetwynd;27532617;1980-02-21;2020-05-24 00:00:00;27275326173
30;Guenevere;Crisell;20496372;1969-10-01;2021-01-24 00:00:00;27204963728
31;Binny;Scroxton;33338756;1989-03-20;2020-10-02 00:00:00;27333387568
32;Neilla;Benbough;31551280;1985-05-25;2021-11-23 00:00:00;27315512806
